球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
MIL,73,47.6,43.288,90.932,35.5,13.795,38.904,74.2,18.301,24.658,9.5,42.2,118.7,51.7,25.9,15.1,7.2,5.9,19.6,2019-2020,RegularSeason,Milwaukee,Wisconsin
HOU,72,45.1,40.778,90.444,34.5,15.639,45.292,79.1,20.611,26.056,9.8,34.5,117.8,44.3,21.6,14.7,8.7,5.2,21.8,2019-2020,RegularSeason,Houston,Texas
DAL,75,46.1,41.653,90.293,36.7,15.147,41.267,77.9,18.56,23.827,10.5,36.4,117.0,46.9,24.7,12.7,6.1,4.8,19.5,2019-2020,RegularSeason,Dallas,Texas
LAC,72,46.6,41.556,89.236,37.1,12.431,33.472,79.1,20.806,26.306,10.7,37.0,116.3,47.7,23.7,14.6,7.1,4.7,22.1,2019-2020,RegularSeason,LA,California
NOP,72,46.5,42.569,91.639,37.0,13.639,36.889,72.9,17.069,23.431,11.1,35.4,115.8,46.5,26.8,16.4,7.5,5.0,21.2,2019-2020,RegularSeason,New Orleans,Louisiana
POR,74,46.3,42.189,91.203,37.7,12.865,34.122,80.4,17.73,22.054,10.2,35.1,115.0,45.3,20.6,12.8,6.3,6.1,21.7,2019-2020,RegularSeason,Portland,Oregon
WAS,72,45.7,41.528,90.889,36.8,12.0,32.569,78.8,19.361,24.583,10.2,31.9,114.4,42.0,25.0,14.2,8.0,4.3,22.7,2019-2020,RegularSeason,Washington,D.C.
SAS,71,47.2,42.183,89.437,37.6,10.704,28.465,81.0,18.986,23.437,9.0,35.6,114.1,44.6,24.7,12.6,7.3,5.5,19.4,2019-2020,RegularSeason,San Antonio,Texas
BOS,72,46.1,41.264,89.556,36.4,12.569,34.542,80.1,18.556,23.167,10.7,35.4,113.7,46.1,23.0,13.8,8.3,5.6,21.6,2019-2020,RegularSeason,Boston,Massachusetts
PHX,73,46.8,41.178,88.068,35.8,11.384,31.781,83.4,19.877,23.836,9.8,33.8,113.6,43.5,27.2,14.8,7.7,4.0,22.0,2019-2020,RegularSeason,Phoenix,Arizona
LAL,71,48.0,42.338,88.296,34.9,11.014,31.577,72.9,17.746,24.338,10.7,35.1,113.4,45.7,25.4,15.2,8.6,6.6,20.7,2019-2020,RegularSeason,Los Angeles,California
MIN,64,44.1,40.406,91.641,33.6,13.328,39.688,75.3,19.109,25.375,10.5,34.3,113.3,44.8,23.8,15.3,8.7,5.7,21.4,2019-2020,RegularSeason,Minnesota,Minnesota
TOR,72,45.8,40.236,87.931,37.4,13.819,36.986,79.6,18.458,23.194,9.5,35.9,112.8,45.4,25.2,14.8,8.8,5.0,21.7,2019-2020,RegularSeason,Toronto,Ontario
MEM,73,46.8,42.548,90.877,34.7,10.932,31.466,76.3,16.603,21.767,10.3,36.2,112.6,46.5,26.9,15.2,7.9,5.5,21.2,2019-2020,RegularSeason,Memphis,Tennessee
MIA,73,46.8,39.452,84.384,37.9,13.411,35.397,78.3,19.726,25.205,8.5,35.9,112.0,44.4,25.9,14.9,7.5,4.5,20.6,2019-2020,RegularSeason,Miami,Florida
ATL,67,44.9,40.642,90.552,33.3,12.015,36.06,79.0,18.463,23.373,9.9,33.4,111.8,43.3,24.0,16.2,7.8,5.1,23.1,2019-2020,RegularSeason,Atlanta,Georgia
BKN,72,44.8,40.389,90.25,34.3,13.069,38.139,74.5,17.931,24.056,10.6,37.3,111.8,47.9,24.5,15.3,6.4,4.5,21.0,2019-2020,RegularSeason,Brooklyn,New York
UTA,72,47.1,40.083,85.139,38.0,13.375,35.236,77.9,17.75,22.792,9.1,35.8,111.3,44.9,22.4,15.1,6.1,4.1,20.4,2019-2020,RegularSeason,Utah,Utah
DEN,73,47.3,42.041,88.877,35.9,10.973,30.603,77.7,16.233,20.904,10.8,33.4,111.3,44.1,26.7,13.8,8.0,4.6,20.3,2019-2020,RegularSeason,Denver,Colorado
PHI,73,46.8,41.096,87.904,36.8,11.616,31.603,75.5,16.932,22.438,10.5,35.0,110.7,45.4,25.8,14.2,8.0,5.3,20.9,2019-2020,RegularSeason,Philadelphia,Pennsylvania
OKC,72,46.8,39.986,85.5,35.5,10.694,30.153,79.6,19.75,24.819,8.2,34.7,110.4,42.9,21.7,13.7,7.6,4.9,19.3,2019-2020,RegularSeason,Oklahoma City,Oklahoma
SAC,72,46.2,40.875,88.389,36.4,12.694,34.875,77.0,15.653,20.333,9.7,32.9,110.1,42.6,23.8,14.5,7.7,4.1,22.2,2019-2020,RegularSeason,Sacramento,California
IND,73,47.6,42.123,88.452,36.3,10.178,28.027,78.7,15.014,19.082,8.7,34.1,109.4,42.8,25.9,13.2,7.4,5.2,19.8,2019-2020,RegularSeason,Indiana,Indiana
