排名,球員,球隊,比賽,先發,平均得分,平均籃板,平均助攻,場均時間,場上效率值,投籃%,投籃命中,投籃出手,三分球%,三分命中,三分出手,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,抄截/場,阻攻/場,失誤,犯規,賽季,賽制,主要位置,次要位置,城市,州
1,Luka Doncic,DAL,7,7,35.7,7.9,10.3,40.1,33.3,49.0,13.714,28.0,40.8,4.429,10.857,52.9,3.857,7.286,0.6,7.3,1.3,0.4,4.6,2.4,2020-2021,Playoffs,F,G,Dallas,Texas
2,Kevin Durant,BKN,12,12,34.3,9.3,4.4,40.4,35.0,51.4,12.083,23.5,40.2,2.75,6.833,87.1,7.333,8.417,0.4,8.8,1.5,1.6,3.5,2.6,2020-2021,Playoffs,F,F,Brooklyn,New York
3,Damian Lillard,POR,6,6,34.3,4.3,10.2,41.3,35.8,46.3,10.333,22.333,44.9,5.833,13.0,94.0,7.833,8.333,0.2,4.2,1.0,0.7,2.2,1.5,2020-2021,Playoffs,G,G,Portland,Oregon
4,Donovan Mitchell,UTA,10,10,32.3,4.2,5.5,34.6,26.2,44.7,10.5,23.5,43.5,5.0,11.5,82.9,6.3,7.6,0.3,3.9,1.1,0.2,2.8,2.0,2020-2021,Playoffs,G,G,Utah,Utah
5,Jayson Tatum,BOS,5,5,30.6,5.8,4.6,37.0,27.6,42.3,9.4,22.2,38.9,2.8,7.2,91.8,9.0,9.8,0.6,5.2,1.2,1.6,2.6,3.0,2020-2021,Playoffs,F,G,Boston,Massachusetts
6,Kawhi Leonard,LAC,11,11,30.4,7.7,4.4,39.3,34.1,57.3,11.091,19.364,39.3,2.182,5.545,88.0,6.0,6.818,2.0,5.7,2.1,0.8,2.2,2.6,2020-2021,Playoffs,F,F,LA,California
7,Giannis Antetokounmpo,MIL,21,21,30.2,12.8,5.1,38.1,34.2,56.9,11.905,20.905,18.6,0.619,3.333,58.7,5.762,9.81,2.8,10.0,1.0,1.2,3.0,2.9,2020-2021,Playoffs,F,F,Milwaukee,Wisconsin
8,Ja Morant,MEM,5,5,30.2,4.8,8.2,40.6,26.8,48.7,11.0,22.6,32.3,2.0,6.2,77.5,6.2,8.0,1.4,3.4,0.4,0.0,3.4,1.8,2020-2021,Playoffs,G,G,Memphis,Tennessee
9,Bradley Beal,WAS,5,5,30.0,6.2,4.2,39.0,23.4,45.5,11.2,24.6,21.9,1.4,6.4,86.1,6.2,7.2,1.2,5.0,0.8,0.6,4.0,1.2,2020-2021,Playoffs,G,G,Washington,D.C.
10,Nikola Jokic,DEN,10,10,29.8,11.6,5.0,34.5,33.4,50.9,11.6,22.8,37.7,2.0,5.3,83.6,4.6,5.5,3.7,7.9,0.6,0.9,2.4,2.3,2020-2021,Playoffs,C,C,Denver,Colorado
11,Trae Young,ATL,16,16,28.8,2.8,9.5,37.7,24.2,41.8,9.375,22.438,31.3,2.813,9.0,86.6,7.25,8.375,0.4,2.4,1.3,0.0,4.0,2.2,2020-2021,Playoffs,G,G,Atlanta,Georgia
12,Joel Embiid,PHI,11,11,28.1,10.5,3.4,32.5,30.3,51.3,9.182,17.909,39.0,1.455,3.727,83.5,8.273,9.909,1.5,9.1,1.0,1.5,3.8,3.0,2020-2021,Playoffs,C,F,Philadelphia,Pennsylvania
13,Devin Booker,PHX,22,22,27.3,5.6,4.5,40.4,22.3,44.7,9.636,21.545,32.1,2.0,6.227,90.5,6.045,6.682,0.7,5.0,0.8,0.2,3.7,3.5,2020-2021,Playoffs,G,G,Phoenix,Arizona
14,Paul George,LAC,19,19,26.9,9.6,5.4,40.8,27.6,44.1,8.684,19.684,33.6,2.684,8.0,84.4,6.842,8.105,0.9,8.7,1.0,0.5,3.5,3.1,2020-2021,Playoffs,F,F,LA,California
15,Dillon Brooks,MEM,5,5,25.8,4.2,2.2,35.0,21.8,51.5,10.0,19.4,40.0,1.6,4.0,80.8,4.2,5.2,1.0,3.2,1.4,0.4,1.8,3.4,2020-2021,Playoffs,G,F,Memphis,Tennessee
16,Khris Middleton,MIL,23,23,23.6,7.6,5.1,40.1,23.2,43.8,8.609,19.652,34.3,2.609,7.609,88.7,3.739,4.217,1.1,6.5,1.5,0.2,3.2,2.5,2020-2021,Playoffs,F,F,Milwaukee,Wisconsin
17,LeBron James,LAL,6,6,23.3,7.2,8.0,37.3,24.7,47.4,9.0,19.0,37.5,3.0,8.0,60.9,2.333,3.833,1.2,6.0,1.5,0.3,4.2,1.2,2020-2021,Playoffs,F,F,Los Angeles,California
18,Kyrie Irving,BKN,9,9,22.7,5.8,3.4,36.1,22.4,47.2,8.556,18.111,36.9,2.667,7.222,92.9,2.889,3.111,1.3,4.4,1.0,0.6,1.2,2.1,2020-2021,Playoffs,G,G,Brooklyn,New York
19,Tobias Harris,PHI,12,12,21.8,8.5,3.5,36.5,24.1,48.8,8.75,17.917,37.2,1.333,3.583,87.5,2.917,3.333,0.8,7.7,1.0,0.4,1.5,2.4,2020-2021,Playoffs,F,F,Philadelphia,Pennsylvania
20,CJ McCollum,POR,6,6,20.7,6.0,4.3,40.0,18.8,43.9,8.333,19.0,33.3,2.333,7.0,76.9,1.667,2.167,1.0,5.0,0.3,0.7,2.0,4.2,2020-2021,Playoffs,G,G,Portland,Oregon
21,James Harden,BKN,9,9,20.2,6.3,8.6,35.8,27.6,47.2,5.667,12.0,36.4,2.667,7.333,90.3,6.222,6.889,0.8,5.6,1.7,0.7,2.9,2.6,2020-2021,Playoffs,G,G,Brooklyn,New York
22,Derrick Rose,NYK,5,3,19.4,4.0,5.0,35.0,18.6,47.6,8.0,16.8,47.1,1.6,3.4,100.0,1.8,1.8,0.8,3.2,0.4,0.2,1.6,1.0,2020-2021,Playoffs,G,G,New York,New York
23,Chris Paul,PHX,20,20,19.2,3.5,8.6,34.2,22.5,49.7,7.45,15.0,44.6,1.45,3.25,87.7,2.85,3.25,0.5,3.1,1.2,0.2,2.2,2.4,2020-2021,Playoffs,G,G,Phoenix,Arizona
24,Russell Westbrook,WAS,5,5,19.0,10.4,11.8,37.2,24.6,33.3,5.6,16.8,25.0,1.0,4.0,79.1,6.8,8.6,2.8,7.6,0.4,0.2,4.2,3.4,2020-2021,Playoffs,G,G,Washington,D.C.
25,Seth Curry,PHI,12,12,18.8,2.3,2.3,31.8,18.2,57.8,7.083,12.25,50.6,3.417,6.75,78.9,1.25,1.583,0.3,2.0,0.8,0.3,0.8,2.8,2020-2021,Playoffs,G,G,Philadelphia,Pennsylvania
26,Bojan Bogdanovic,UTA,11,11,18.1,4.3,1.5,35.5,15.5,46.7,5.818,12.455,46.1,3.182,6.909,87.8,3.273,3.727,0.5,3.7,0.9,0.0,2.1,2.5,2020-2021,Playoffs,F,F,Utah,Utah
