球隊,比賽,投籃%,投籃命中,投籃出手,三分球%,三分球命中數,三分球出手數,罰球%,罰球命中,罰球次數,進攻籃板,防守籃板,平均得分,平均籃板,平均助攻,失誤,抄截/場,阻攻/場,犯規,賽季,賽制,城市,州
POR,6,47.5,42.0,88.333,41.3,16.167,39.167,85.3,19.333,22.667,9.3,32.3,119.5,41.7,22.8,11.83,5.17,5.5,23.17,2020-2021,Playoffs,Portland,Oregon
UTA,11,47.2,39.727,84.182,41.3,18.0,43.636,80.1,19.455,24.273,9.4,33.0,116.9,42.4,19.6,13.46,5.18,4.09,21.55,2020-2021,Playoffs,Utah,Utah
PHI,12,49.6,42.5,85.75,39.3,11.167,28.417,68.5,20.083,29.333,9.0,35.7,116.3,44.7,24.9,12.83,8.0,6.17,23.0,2020-2021,Playoffs,Philadelphia,Pennsylvania
MEM,5,46.8,44.2,94.4,32.9,10.4,31.6,79.4,16.2,20.4,11.2,30.0,115.0,41.2,22.0,10.4,8.0,4.0,20.6,2020-2021,Playoffs,Memphis,Tennessee
DEN,10,45.7,42.1,92.2,38.2,14.7,38.5,76.1,15.9,20.9,11.7,31.9,114.8,43.6,24.9,11.2,6.1,4.3,20.4,2020-2021,Playoffs,Denver,Colorado
BKN,12,47.2,40.667,86.167,38.2,13.583,35.583,86.8,17.583,20.25,8.3,34.3,112.5,42.6,22.6,11.58,7.08,4.83,21.17,2020-2021,Playoffs,Brooklyn,New York
BOS,5,43.5,38.4,88.2,35.0,12.8,36.6,82.5,22.6,27.4,12.6,28.8,112.2,41.4,21.0,13.0,6.4,7.0,21.0,2020-2021,Playoffs,Boston,Massachusetts
LAC,19,47.7,39.105,81.947,38.1,13.842,36.368,82.3,19.526,23.737,8.8,32.4,111.6,41.2,20.8,10.68,6.79,4.26,19.47,2020-2021,Playoffs,LA,California
MIL,23,46.2,42.087,91.087,32.1,11.217,34.957,71.8,14.913,20.783,12.8,36.1,110.3,49.0,22.8,12.74,7.83,4.22,17.96,2020-2021,Playoffs,Milwaukee,Wisconsin
WAS,5,45.8,40.6,88.6,28.9,7.0,24.2,75.2,21.8,29.0,10.6,32.8,110.0,43.4,22.4,13.4,4.8,4.8,24.0,2020-2021,Playoffs,Washington,D.C.
PHX,22,48.1,40.909,85.045,37.6,11.182,29.727,86.1,16.0,18.591,8.0,34.7,109.0,42.7,23.2,11.91,6.46,4.18,19.73,2020-2021,Playoffs,Phoenix,Arizona
ATL,18,44.9,38.944,86.778,34.3,11.722,34.167,79.8,16.667,20.889,9.1,33.3,106.3,42.4,20.2,12.44,6.72,4.39,21.22,2020-2021,Playoffs,Atlanta,Georgia
DAL,7,45.5,39.143,86.0,38.8,13.571,35.0,70.7,14.143,20.0,10.3,30.3,106.0,40.6,20.7,11.0,5.57,2.14,20.29,2020-2021,Playoffs,Dallas,Texas
MIA,4,39.5,35.25,89.25,33.6,12.0,35.75,76.5,15.5,20.25,9.0,33.3,98.0,42.3,21.5,14.0,7.25,3.5,20.5,2020-2021,Playoffs,Miami,Florida
LAL,6,41.4,34.333,83.0,29.9,9.833,32.833,77.6,19.0,24.5,10.5,32.7,97.5,43.2,19.3,13.83,6.67,4.0,20.5,2020-2021,Playoffs,Los Angeles,California
NYK,5,39.8,34.4,86.4,34.2,10.4,30.4,81.7,17.8,21.8,11.8,34.6,97.0,46.4,18.6,12.2,5.8,2.8,19.8,2020-2021,Playoffs,New York,New York
